timestamp,retailer,category,section,brand,product_name,pack_size,flavor,retailer_sku,canonical_url,status,price,currency,source,baseline,baseline_db,regular_price,pct_off,deal_strength,price_per_unit,unit_source,image_url,availability_raw,availability_norm,pickup_available,shipping_available
2026-09-25T15:11:56.917217+00:00,Kroger,Cookies & Sweets,Food,Catalina Crunch,Catalina Crunch Snack Mix,1,Spicy,0085001746815,https://www.kroger.com/p/catalina-crunch-protein-snack-mix-spicy-5-25-oz/0085001746815,ok,4.99,USD,kroger_api,6.49,6.49,6.49,0.23112480739599384,🔥 Fire Deal,4.9900,db,https://www.kroger.com/product/images/xlarge/front/0085001746815,both,both,1,1
2026-09-25T15:12:02.062766+00:00,Kroger,Cookies & Sweets,Food,Catalina Crunch,Catalina Crunch Snack Mix,1,Traditional,0085001746813,https://www.kroger.com/p/catalina-crunch-traditional-high-protein-snack-mix/0085001746813,ok,4.99,USD,kroger_api,6.49,6.49,6.49,0.23112480739599384,🔥 Fire Deal,4.9900,db,https://www.kroger.com/product/images/xlarge/front/0085001746813,both,both,1,1
2026-09-25T15:13:41.145653+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,12,Vibe Variety,0088939200095,https://www.harristeeter.com/p/celsius-vibe-energy-drink-variety-pack-cans/0088939200095,ok,19.99,USD,kroger_api,25.99,25.99,25.99,0.2308580223162755,🔥 Fire Deal,1.6658,db,https://www.kroger.com/product/images/xlarge/front/0088939200095,both,both,1,1
2026-09-25T15:13:42.604652+00:00,Harris Teeter,Energy Drink,Drinks,Alani NU,Alani Nu Energy Drink,1,Cherry Slush,0081003051225,https://www.harristeeter.com/p/alani-nu-cherry-slush-sugar-free-energy-drink-can/0081003051225,ok,2.5,USD,kroger_api,3.19,3.19,3.19,0.21630094043887146,🔥 Fire Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0081003051225,both,both,1,1
2026-09-25T15:13:44.005058+00:00,Harris Teeter,Energy Drink,Drinks,Alani NU,Alani Nu Energy Drink,1,Orange Kiss,0085064500836,https://www.harristeeter.com/p/alani-nu-orange-kiss-sugar-free-energy-drink-can/0085064500836,ok,2.5,USD,kroger_api,3.19,3.19,3.19,0.21630094043887146,🔥 Fire Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0085064500836,both,both,1,1
2026-09-25T15:13:45.491318+00:00,Harris Teeter,Energy Drink,Drinks,Alani NU,Alani Nu Energy Drink,1,Cosmic Stardust,0081003051002,https://www.harristeeter.com/p/alani-nu-cosmic-stardust-sugar-free-energy-drink-can/0081003051002,ok,2.5,USD,kroger_api,3.19,3.19,3.19,0.21630094043887146,🔥 Fire Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0081003051002,both,both,1,1
2026-09-25T15:13:48.345254+00:00,Harris Teeter,Energy Drink,Drinks,Alani NU,Alani Nu Energy Drink,1,Juicy Peach,0081003051382,https://www.harristeeter.com/p/alani-nu-juicy-peach-sugar-free-energy-drink-can/0081003051382,ok,2.5,USD,kroger_api,3.19,3.19,3.19,0.21630094043887146,🔥 Fire Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0081003051382,both,both,1,1
2026-09-25T15:13:49.759256+00:00,Harris Teeter,Energy Drink,Drinks,Alani NU,Alani Nu Energy Drink,1,Hawaiian Shaved Ice,0085064500838,https://www.harristeeter.com/p/alani-nu-hawaiian-shaved-ice-sugar-free-energy-drink-can/0085064500838,ok,2.5,USD,kroger_api,3.19,3.19,3.19,0.21630094043887146,🔥 Fire Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0085064500838,both,both,1,1
2026-09-25T15:13:51.304460+00:00,Harris Teeter,Energy Drink,Drinks,Alani NU,Alani Nu Energy Drink,1,Breezeberry,0081003051105,https://www.harristeeter.com/p/alani-nu-breezeberry-sugar-free-energy-drink-can/0081003051105,ok,2.5,USD,kroger_api,3.19,3.19,3.19,0.21630094043887146,🔥 Fire Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0081003051105,both,both,1,1
2026-09-25T15:29:13.247660+00:00,Target,Bars,Food,ONE,ONE Protein Bar,12,Blueberry Cobbler,80354236,https://www.target.com/p/one-bar-protein-bar-blueberry-cobbler/-/A-80354236,ok,19.99,USD,"dom:[data-test=""module-product-detail-price-v2""] [data-test=""text-quill-insert-0""]",24.99,24.99,,0.20008003201280514,🔥 Fire Deal,1.6658,db,https://target.scene7.com/is/image/Target/GUEST_58445e53-7b0c-4d2f-900f-bbffe7d38cf6?wid=600&hei=600&qlt=80,online_only,online_only,,1
